name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
istanbul,2024-02-07,17,9.9,13.1,17,9.9,13.1,8.4,73.6,0,0,0,,0,0,42.5,16.3,254.3,1015,29.9,11.1,133.7,11.4,5,,2024-02-07T08:09:16,2024-02-07T18:27:38,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-08,17.6,11.5,14.2,17.6,11.5,14.2,8.9,71.1,0,0,0,,0,0,42.8,18.6,249.7,1012.7,55.7,11.5,115,9.7,5,,2024-02-08T08:08:07,2024-02-08T18:28:53,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-09,16.8,10,13,16.8,10,13,8.2,73,0,0,0,,0,0,31.3,16.5,249.1,1012.4,12.7,11.3,117.9,10.1,5,,2024-02-09T08:06:58,2024-02-09T18:30:08,0.98,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-10,16.7,11.2,13.8,16.7,11.2,13.8,8,68.2,0,0,0,,0,0,44.6,18.8,232.5,1013.1,58.8,11.3,98.9,8.6,5,,2024-02-10T08:05:46,2024-02-10T18:31:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-11,18,12.7,15.1,18,12.7,15.1,6.9,58.5,0,0,0,,0,0,46.1,21.9,222.6,1013.7,70.5,11.2,95.5,8.4,4,,2024-02-11T08:04:34,2024-02-11T18:32:37,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-12,17.5,9.6,13.8,17.5,9.6,13.8,7.6,67.3,1.471,100,12.5,rain,0,0,29.2,21.8,227.6,1010.5,87.4,11.3,108.1,9.2,5,,2024-02-12T08:03:19,2024-02-12T18:33:52,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-13,13.8,9.5,11,13.8,8.7,10.9,8.3,83.7,0.693,100,4.17,rain,0,0,28.1,15.2,267.3,1008.1,73.2,11.1,126.7,10.9,6,,2024-02-13T08:02:04,2024-02-13T18:35:06,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-14,10.6,8.2,9.4,10.6,4.9,7.7,6.9,84.8,1.004,100,8.33,rain,0,0,45,23.6,11.6,1012.5,88.3,10.2,24.4,2.1,2,,2024-02-14T08:00:47,2024-02-14T18:36:20,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-15,8.5,6.6,7.6,5.3,3.7,4.4,5.9,88.8,8.884,100,16.67,rain,0,0,49,24.6,358.2,1016.8,92.1,8.7,13.7,1,1,,2024-02-15T07:59:29,2024-02-15T18:37:34,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2024-02-16,8.6,6.7,7.7,6.5,4.4,5.5,6.1,89.5,5.069,100,12.5,rain,0,0,32.4,19.2,356,1020.6,94.6,9.6,18.7,1.5,1,,2024-02-16T07:58:10,2024-02-16T18:38:47,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
