Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Han,2024-02-25 20:05:03,00:00:07,,House of Ninjas: 1. Sezon: Diriliş (Bölüm 4),,Chrome PC (Cadmium),00:02:08,00:02:08,TR (Turkey)
Han,2024-02-25 18:55:33,00:01:54,Autoplayed: user action: None; ,House of Ninjas: 1. Sezon: Diriliş (Bölüm 4),,Chrome PC (Cadmium),00:02:00,Not latest view,TR (Turkey)
Han,2024-02-25 18:06:46,00:48:46,,House of Ninjas: 1. Sezon: Çiçek (Bölüm 3),,Chrome PC (Cadmium),00:48:52,00:48:52,TR (Turkey)
Han,2024-02-25 17:20:26,00:46:19,,House of Ninjas: 1. Sezon: İpucu (Bölüm 2),,Chrome PC (Cadmium),00:46:25,00:46:25,TR (Turkey)
Han,2024-02-25 16:30:37,00:49:49,,House of Ninjas: 1. Sezon: Teklif (Bölüm 1),,Chrome PC (Cadmium),00:49:49,00:49:49,TR (Turkey)
Han,2024-02-25 16:30:31,00:00:05,Autoplayed: user action: None; ,1. Sezon (Kısa Video): House of Ninjas,HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,TR (Turkey)
Han,2024-02-25 11:30:04,00:00:23,Autoplayed: user action: None; ,Einstein ve Atom Bombası (2. Kısa Video): Einstein ve Atom Bombası,HOOK,Chrome PC (Cadmium),00:00:25,00:00:25,TR (Turkey)
Han,2024-02-25 01:54:36,00:01:53,Autoplayed: user action: None; ,Avatar: The Last Airbender: 1. Sezon: Karanlığa Doğru (Bölüm 4),,Chrome PC (Cadmium),00:02:00,00:02:00,TR (Turkey)
Han,2024-02-25 01:08:15,00:46:20,,Avatar: The Last Airbender: 1. Sezon: Omashu (Bölüm 3),,Chrome PC (Cadmium),00:46:27,00:46:27,TR (Turkey)
Han,2024-02-25 00:25:41,00:42:34,,Avatar: The Last Airbender: 1. Sezon: Savaşçılar (Bölüm 2),,Chrome PC (Cadmium),00:42:41,00:42:41,TR (Turkey)
Han,2024-02-24 23:26:43,00:57:46,,Avatar: The Last Airbender: 1. Sezon: Aang (Bölüm 1),,Chrome PC (Cadmium),00:57:46,00:57:46,TR (Turkey)
Han,2024-02-19 07:00:56,00:15:23,,​Carol & The End of The World: Mini Dizi: Üçlü İlişki (Bölüm 3),,Chrome PC (Cadmium),00:15:28,00:15:28,TR (Turkey)
Han,2024-02-19 06:32:10,00:28:45,,​Carol & The End of The World: Mini Dizi: Oyalanma (Bölüm 2),,Chrome PC (Cadmium),00:28:51,00:28:51,TR (Turkey)
Han,2024-02-19 05:59:38,00:32:31,,​Carol & The End of The World: Mini Dizi: Pilot Bölüm (Bölüm 1),,Chrome PC (Cadmium),00:32:31,00:32:31,TR (Turkey)
Han,2024-02-19 05:59:06,00:00:06,Autoplayed: user action: None; ,Suits: Season 5 - CLM 5,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,TR (Turkey)
Han,2024-02-19 05:58:40,00:00:26,Autoplayed: user action: None; ,1. Sezon (Kısa Video): A Killer Paradox,HOOK,Chrome PC (Cadmium),00:00:26,00:00:26,TR (Turkey)
Han,2024-02-19 01:49:56,00:01:16,Autoplayed: user action: None; ,Regular Show: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:01:16,00:01:16,TR (Turkey)
Han,2024-02-19 00:33:00,01:13:20,,Einstein ve Atom Bombası,,Chrome PC (Cadmium),01:13:20,01:13:20,TR (Turkey)
Han,2024-02-12 23:21:45,00:01:16,Autoplayed: user action: None; ,Regular Show: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:01:16,Not latest view,TR (Turkey)
Han,2024-02-12 21:53:25,01:28:20,,"Aşık, Sapkın, Katil",,Chrome PC (Cadmium),01:28:20,01:28:20,TR (Turkey)
Han,2024-02-11 00:28:36,00:01:55,Autoplayed: user action: None; ,The Brothers Sun: 1. Sezon: Kare (Bölüm 4),,Chrome PC (Cadmium),00:02:01,00:02:01,TR (Turkey)
Han,2024-02-10 23:42:17,00:46:18,,The Brothers Sun: 1. Sezon: Nasıl İstersen (Bölüm 3),,Chrome PC (Cadmium),00:46:24,00:46:24,TR (Turkey)
Han,2024-02-10 22:54:06,00:48:10,Autoplayed: user action: None; ,The Brothers Sun: 1. Sezon: İyiliğe Karşı İyilik (Bölüm 2),,Chrome PC (Cadmium),00:48:16,00:48:16,TR (Turkey)
Han,2024-02-10 22:08:33,00:44:01,,The Brothers Sun: 1. Sezon: Pilot Bölüm (Bölüm 1),,Chrome PC (Cadmium),00:44:35,00:44:35,TR (Turkey)
Han,2024-02-10 22:08:14,00:00:05,Autoplayed: user action: None; ,Despicable Me 3 - CLM 10,HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,TR (Turkey)
Han,2024-02-02 04:09:14,00:02:03,,1. Sezon (Fragman): BLUE EYE SAMURAI,TRAILER,Chrome PC (Cadmium),00:02:03,00:02:03,TR (Turkey)
Han,2024-02-02 02:44:05,01:25:09,,60 Dakika,,Chrome PC (Cadmium),01:25:09,01:25:09,TR (Turkey)
Han,2024-02-02 02:43:56,00:00:06,Autoplayed: user action: None; ,60 Dakika (2. Kısa Video): 60 Dakika,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,TR (Turkey)
Han,2024-02-01 08:04:39,00:06:20,Autoplayed: user action: User_Interaction; ,Rick and Morty: 2. Sezon: Uzaylı Parazitler (Bölüm 4),,Samsung 2018 Kant-M2 UHD TV Smart TV,00:06:48,Not latest view,TR (Turkey)
Han,2024-02-01 07:57:12,00:05:24,,The Brothers Sun: 1. Sezon: Pilot Bölüm (Bölüm 1),,Samsung 2018 Kant-M2 UHD TV Smart TV,00:05:25,Not latest view,TR (Turkey)
Han,2024-02-01 07:56:56,00:00:13,Autoplayed: user action: None; ,1. Sezon (3. Tanıtım Fragmanı): The Brothers Sun,TEASER_TRAILER,Samsung 2018 Kant-M2 UHD TV Smart TV,00:00:13,00:00:13,TR (Turkey)
Han,2024-01-31 19:49:33,00:00:09,Autoplayed: user action: None; ,1. Sezon (Kısa Video): Büyük İskender Nasıl Büyük Oldu?,HOOK,Chrome PC (Cadmium),00:00:09,00:00:09,TR (Turkey)
Han,2024-01-31 00:40:52,00:02:03,,Mini Dizi (Fragman): Ne Yersen O'sun: İkizlerle Bir Deney,TRAILER,Chrome PC (Cadmium),00:02:03,00:02:03,TR (Turkey)
Han,2024-01-31 00:38:04,00:00:23,Autoplayed: user action: None; ,1. Sezon (3. Tanıtım Fragmanı): The Brothers Sun,TEASER_TRAILER,Chrome PC (Cadmium),00:00:23,Not latest view,TR (Turkey)
Han,2024-01-31 00:37:13,00:00:04,Autoplayed: user action: None; ,Azizler (Fragman),TRAILER,Chrome PC (Cadmium),00:00:04,00:00:04,TR (Turkey)
Han,2024-01-31 00:36:57,00:00:12,Autoplayed: user action: None; ,1. Sezon (2. Kısa Video): Kübra,HOOK,Chrome PC (Cadmium),00:00:12,00:00:12,TR (Turkey)
Han,2024-01-17 21:53:04,00:00:13,Autoplayed: user action: None; ,Friends: 9. Sezon: Köpek Balıkları (Bölüm 4),,Sony PS4,00:00:13,00:00:13,TR (Turkey)
Han,2024-01-17 21:28:11,00:22:38,Autoplayed: user action: User_Interaction; ,Friends: 9. Sezon: Çocuk Doktoru (Bölüm 3),,Sony PS4,00:23:11,00:23:11,TR (Turkey)
Han,2024-01-17 15:50:57,00:22:09,,Friends: 9. Sezon: Emma'nın Gözyaşları (Bölüm 2),,Sony PS4,00:22:48,00:22:48,TR (Turkey)
Han,2024-01-17 14:59:29,00:22:07,,Friends: 9. Sezon: Nişan Karmaşası (Bölüm 1),,Sony PS4,00:23:06,00:23:06,TR (Turkey)
Han,2024-01-17 14:59:14,00:00:05,Autoplayed: user action: None; ,Recep İvedik 7_hook_03_16x9,HOOK,Sony PS4,00:00:05,00:00:05,TR (Turkey)
Han,2024-01-17 14:59:01,00:00:05,Autoplayed: user action: None; ,Azizler (Fragman),TRAILER,Sony PS4,00:00:05,Not latest view,TR (Turkey)
Han,2024-01-16 23:41:06,00:00:12,Autoplayed: user action: None; ,Maestro (2. Kısa Video): Maestro,HOOK,Sony PS4,00:00:12,00:00:12,TR (Turkey)
Han,2024-01-16 23:40:28,00:00:30,Autoplayed: user action: None; ,Fragman: Sly,TRAILER,Sony PS4,00:00:30,00:00:30,TR (Turkey)
Han,2024-01-16 23:28:42,00:10:52,,Azizler,,Sony PS4,00:10:53,00:10:53,TR (Turkey)
Han,2024-01-16 23:28:11,00:00:28,Autoplayed: user action: None; ,Azizler (Fragman),TRAILER,Sony PS4,00:00:28,Not latest view,TR (Turkey)
Han,2024-01-16 23:25:29,00:01:48,Autoplayed: user action: None; ,Supporting Character Clip: Do Not Disturb,HOOK,Sony PS4,00:01:48,Not latest view,TR (Turkey)
Han,2024-01-16 23:24:05,00:00:57,,Bayi Toplantısı,,Sony PS4,00:00:57,00:00:57,TR (Turkey)
Han,2024-01-16 23:23:51,00:00:12,Autoplayed: user action: None; ,Vendors' Meeting_hook_primary_16x9,HOOK,Sony PS4,00:00:12,00:00:12,TR (Turkey)
Han,2024-01-16 23:23:28,00:00:05,Autoplayed: user action: None; ,You've Got Murder_hook_01_16x9,HOOK,Sony PS4,00:00:05,00:00:05,TR (Turkey)
Han,2024-01-16 23:23:11,00:00:07,Autoplayed: user action: None; ,Travel Mates 2_hook_01_16x9,HOOK,Sony PS4,00:00:07,00:00:07,TR (Turkey)
Han,2024-01-16 23:23:01,00:00:04,Autoplayed: user action: None; ,Kayhan_hook_03_16x9,HOOK,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-01-16 23:22:38,00:00:15,Autoplayed: user action: None; ,Pek Yakında_hook_02_16x9,HOOK,Sony PS4,00:00:15,00:00:15,TR (Turkey)
Han,2024-01-16 23:22:27,00:00:09,Autoplayed: user action: None; ,Vendors' Meeting_hook_primary_16x9,HOOK,Sony PS4,00:00:09,Not latest view,TR (Turkey)
Han,2024-01-16 23:22:00,00:00:05,Autoplayed: user action: None; ,Scary Movie_hook_primary_16x9,HOOK,Sony PS4,00:00:05,00:00:05,TR (Turkey)
Han,2024-01-16 22:30:49,00:39:06,Autoplayed: user action: User_Interaction; ,Şeker Henry'nin İnanılmaz Öyküsü,,Sony PS4,00:39:03,00:39:03,TR (Turkey)
Han,2024-01-16 22:29:54,00:00:42,,Fragman: Şeker Henry'nin İnanılmaz Öyküsü,TRAILER,Sony PS4,00:01:01,00:01:01,TR (Turkey)
Han,2024-01-16 22:29:23,00:00:29,Autoplayed: user action: User_Interaction; ,Fragman: Şeker Henry'nin İnanılmaz Öyküsü,TRAILER,Sony PS4,00:00:29,Not latest view,TR (Turkey)
Han,2024-01-16 22:29:10,00:00:04,Autoplayed: user action: None; ,Fragman: Hustle,TRAILER,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-01-16 22:28:59,00:00:07,Autoplayed: user action: None; ,Travis Scott: Look Mom I Can Fly (Fragman),TRAILER,Sony PS4,00:00:07,00:00:07,TR (Turkey)
Han,2024-01-16 22:05:36,00:20:22,Autoplayed: user action: User_Interaction; ,Friends: 8. Sezon: Rachel Doğum Yapıyor: Kısım 2 (Bölüm 24),,Sony PS4,00:21:53,00:21:53,TR (Turkey)
Han,2024-01-16 21:24:42,00:21:20,,Friends: 8. Sezon: Rachel Doğum Yapıyor: Kısım 1 (Bölüm 23),,Sony PS4,00:21:52,00:21:52,TR (Turkey)
Han,2024-01-16 21:03:22,00:21:18,Autoplayed: user action: User_Interaction; ,Friends: 8. Sezon: Rachel Gecikiyor (Bölüm 22),,Sony PS4,00:21:50,00:21:50,TR (Turkey)
Han,2024-01-16 20:41:56,00:21:22,Autoplayed: user action: User_Interaction; ,Friends: 8. Sezon: Aşçılık Dersi (Bölüm 21),,Sony PS4,00:21:53,00:21:53,TR (Turkey)
Han,2024-01-16 20:20:29,00:21:21,Autoplayed: user action: User_Interaction; ,Friends: 8. Sezon: Bebek Partisi (Bölüm 20),,Sony PS4,00:21:53,00:21:53,TR (Turkey)
Han,2024-01-16 20:08:00,00:11:55,,Friends: 8. Sezon: Joey'nin Röportajı (Bölüm 19),,Sony PS4,00:21:55,00:21:55,TR (Turkey)
Han,2024-01-16 20:07:27,00:00:04,Autoplayed: user action: None; ,G.O.R.A._hook_03_16x9,HOOK,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-01-15 22:10:04,00:01:51,,1. Sezon (Fragman): BLUE EYE SAMURAI,TRAILER,Sony PS4,00:01:51,Not latest view,TR (Turkey)
